Nome,Descrição
IBADE,Instituto Brasileiro de Apoio e Desenvolvimento Executivo
CESPE / CEBRASPE,Centro Brasileiro de Pesquisa em Avaliação e Seleção e de Promoção de Eventos
VUNESP,Vestibular da Universidade Estadual Paulista - VUNESP
IDECAN,Instituto de Desenvolvimento Educacional, Cultural e Assistencial Nacional
CONSULPAM,Consultoria Público - Privada
INSTITUTO AOCP,Instituto AOCP
FCC,Fundação Carlos Chagas
IBGP,Instituto Brasileiro de Gestão e Pesquisa
FUNDEP (Gestão de Concursos),Fundação de Desenvolvimento da Pesquisa - UFMG
FUNDATEC,Fundação Universidade-Empresa de Tecnologia e Ciências
Instituto Consulplan,Instituto Consulplan de Desenvolvimento, Projetos e Assistência Social
CESGRANRIO,Fundação Cesgranrio
Quadrix,Instituto Quadrix de Responsabilidade Social
SEPROD,Serviço de Processamento de Dados
SHDIAS,SHDIAS Consultoria e Assessoria
IDIB,Instituto de Desenvolvimento Institucional Brasileiro
FUNATEC,FUNATEC | Fundação de Apoio Tecnológico - Piauí (PI)
IGECS,Instituto de Gestão de Cidades
CEFET-BA,Fundação CEFET - Bahia
PUBLICONSULT,Publiconsult Assessoria e Consultoria Pública Ltda
Instituto IBDO Projetos,Instituto IBDO Projetos
INDEPAC,Instituto de Cultura, Desenvolvimento Educacional, Promoção Humana e Ação Comunitária
Instituto Access,Instituto de Acesso à Educação, Capacitação Profissional e Desenvolvimento Humano
SC TREINAMENTOS,SC TREINAMENTOS
FUVEST,Fundação Universitária para o Vestibular
CONCEPÇÃO,CONCEPÇÃO - Consultoria Técnica Especializada LTDA
Fundação La Salle,Fundação La Salle
CETREDE,Centro de Treinamento e Desenvolvimento
FUNCAB,Fundação Professor Carlos Antonio Bittencourt
AVALIA,Instituto Avalia de Inovação em Avaliação e Seleção
Fundação CEFETBAHIA,Fundação de Apoio a Educação e Desenvolvimento Tecnológico
FEPESE,Fundação de Estudos e Pesquisas Sócio Econômicos
Avança SP,Instituto Avança São Paulo
Instituto UniFil,Instituto UniFil
Nosso Rumo,Instituto de Educação e Desenvolvimento Social
ADVISE,ADVISE Consultoria
IMAM,Instituto Mineiro de Administração Municipal
UPENET/IAUPE,Instituto de Apoio à Universidade de Pernambuco - UPE
FAPEC,Fundação de Apoio à Pesquisa, ao Ensino e à Cultura
ICAP,Instituto de Capacitação, Assessoria e Pesquisa
UPA,Universidade Patativa de Assaré
Provas,FAUEL
FAUEL,Fundação de Apoio à Universidade Estadual de Londrina
IADES,Instituto Americano de Desenvolvimento
KLC,KLC - Consultoria em Gestão Pública Ltda.
Instituto Legatus,Instituto Legatus
Instituto IBDO,Instituto Brasileiro de Incentivo ao Desenvolvimento Organizacional Eireli
FAU,Fundação de Apoio ao Desenvolvimento UNICENTRO
Aroeira,Fundação Aroeira
IESES,Instituto de Estudos Superiores do Extremo Sul
EDUCA,EDUCA - Assessoria Educacional Ltda
FADCT,Fundação de Apoio ao Desenvolvimento Científico e Tecnológico
ADM&TEC,Instituto ADM&TEC
IMPARH,Instituto Municipal de Pesquisas, Administração e Recursos Humanos - Prefeitura Fortaleza
FUNCERN,Fundação de Apoio à Educação e ao Desenvolvimento Tecnológico do Rio Grande do Norte
IV - UFG,Instituto Verbena - Universidade Federal de Goiás
UECE-CEV,Universidade Estadual do Ceará - Comissão Executiva do Vestibular
FUMARC,Fundação Mariana Resende Costa
Creative Group,Creative Group
SIGMA RH,SIGMA RH
COPS-UEL,Coordenadoria de Processos Seletivos da Universidade Estadual de Londrina
CONSCAM,CONSCAM – Assessoria e Consultoria
FUNECE,Fundação Universidade Estadual do Ceará – FUNECE
IVIN,Instituto Vicente Nelson
FURB,Fundação Universidade Regional de Blumenau
CETAP,CETAP - Centro de Extensão, Treinamento e Aperfeiçoamento Profissional
IDCAP,Instituto de Desenvolvimento e Capacitação
Master Consultoria,Master Consultoria Educacional
AGIRH,Assessoria e Gestão Integrada em Recursos Humanos
Aeronáutica,Aeronáutica
UniRV - GO,Universidade de Rio Verde - Goiás
PROMUN,PROMUN - Projetos para Municípios
UFMA,Universidade Federal do Maranhão
AMAUC,Associação dos Municípios do Alto Uruguai Catarinense
IDHTEC,Instituto de Desenvolvimento Humano e Tecnológico
WE DO Serviços,WE DO Serviços Inteligentes
Instituto Águia,Desenvolvimento Educacional e Social -
IADHED,Instituto Assistencial de Desenvolvimento Humano, Educacional e Desportivo
UNEB,Universidade do Estado da Bahia
FADESP,Fundação de Amparo e Desenvolvimento da Pesquisa
UFAC,Universidade Federal do Acre
UFPE,Universidade Federal de Pernambuco
UNISUL,Universidade do Sul de Santa Catarina
Planexcon,Planexcon - Assessoria e Consultoria Pública
AMEOSC,Associação Municipal do Extremo Oeste de Santa Catarina
ESAF,Escola de Administração Fazendária
Instituto Excelência,Instituto Excelência
CIEE,Centro de Integração Empresa-Escola
ACCESS,ACCESS Seleção
FUNRIO,Fundação de Apoio a Pesquisa, Ensino e Assistência
Fenaz do Pará,Fenaz do Pará
Ibest,Instituto Brasileiro de Educação, Seleção e Tecnologia
FCM,Fundação CEFETMINAS
AEVSF/FACAPE,Faculdade de Ciências Aplicadas e Sociais de Petrolina
